level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2048	2048	-1	
2	1	1	0	0	0	162	1	1830	2018	-1	
3	1	1	1	0	0	162	1	1830	2010	-1	
4	1	1	1	1	0	1089	1	26	25	-1	
5	1	1	1	1	1	1089	1	26	25	84.810860	aj
4	1	1	1	2	0	1096	32	896	12	-1	
5	1	1	1	2	1	1096	32	13	12	8.014229	s
5	1	1	1	2	2	1984	39	8	1	11.177170	s
4	1	1	1	3	0	162	95	1102	55	-1	
5	1	1	1	3	1	162	95	286	55	30.623009	SS
5	1	1	1	3	2	681	123	2	8	95.581711	|
5	1	1	1	3	3	776	117	52	31	58.266418	on
5	1	1	1	3	4	971	115	40	25	36.428215	vo
5	1	1	1	3	5	1087	102	5	6	76.794510	\
5	1	1	1	3	6	1237	104	27	12	22.162216	“itty
4	1	1	1	4	0	624	186	447	58	-1	
5	1	1	1	4	1	624	198	240	46	32.666389	te.
5	1	1	1	4	2	940	194	56	50	29.146011	%
5	1	1	1	4	3	1051	186	20	54	29.146011	X
4	1	1	1	5	0	713	255	628	61	-1	
5	1	1	1	5	1	713	289	22	10	64.227119	an
5	1	1	1	5	2	746	260	92	43	26.077232	ae
5	1	1	1	5	3	902	264	78	30	24.964462	[ay
5	1	1	1	5	4	994	270	5	3	0.000000	.
5	1	1	1	5	5	1081	255	76	61	90.926956	»
5	1	1	1	5	6	1294	295	2	2	61.971382	4
5	1	1	1	5	7	1337	261	4	4	66.093010	é
4	1	1	1	6	0	627	295	1316	30	-1	
5	1	1	1	6	1	627	300	77	17	5.855293	al
5	1	1	1	6	2	751	302	26	10	11.346222	i
5	1	1	1	6	3	835	295	69	30	0.000000	hp
5	1	1	1	6	4	976	298	14	20	24.812386	A
5	1	1	1	6	5	1040	307	2	2	21.791931	E
5	1	1	1	6	6	1932	314	11	9	51.979618	7
4	1	1	1	7	0	384	324	994	26	-1	
5	1	1	1	7	1	384	329	3	5	60.756378	g
5	1	1	1	7	2	646	342	2	2	41.927406	Ň
5	1	1	1	7	3	772	329	21	21	0.000000	Li
5	1	1	1	7	4	829	334	19	14	44.809666	b
5	1	1	1	7	5	861	324	18	19	6.053619	A.
5	1	1	1	7	6	992	329	4	4	51.288982	R
5	1	1	1	7	7	1112	325	15	19	20.725288	«.
5	1	1	1	7	8	1376	338	2	3	80.843674	h
4	1	1	1	8	0	603	343	813	28	-1	
5	1	1	1	8	1	603	344	135	24	6.032684	LAr
5	1	1	1	8	2	765	351	12	13	32.347778	V
5	1	1	1	8	3	847	345	87	26	28.973389	OES.
5	1	1	1	8	4	1382	343	34	18	58.974991	XS
4	1	1	1	9	0	527	339	922	58	-1	
5	1	1	1	9	1	527	349	207	48	42.403328	VALE
5	1	1	1	9	2	766	370	88	22	25.527779	c
5	1	1	1	9	3	875	339	54	53	59.663475	a
5	1	1	1	9	4	953	352	95	45	13.684097	TEA
5	1	1	1	9	5	1192	377	4	15	63.874466	5
5	1	1	1	9	6	1389	370	60	27	32.903152	aS
4	1	1	1	10	0	564	381	895	33	-1	
5	1	1	1	10	1	564	395	18	11	52.312248	s
5	1	1	1	10	2	638	403	8	3	32.399429	€.
5	1	1	1	10	3	680	389	24	20	22.179413	M
5	1	1	1	10	4	751	381	51	27	17.252266	kd
5	1	1	1	10	5	866	388	38	23	32.921783	ae
5	1	1	1	10	6	944	398	15	13	17.026810	huge
5	1	1	1	10	7	1001	392	55	19	0.000000	Vid
5	1	1	1	10	8	1349	395	6	13	92.171631	]
5	1	1	1	10	9	1450	383	9	31	92.785492	)
4	1	1	1	11	0	511	396	944	40	-1	
5	1	1	1	11	1	511	406	88	15	36.283424	Luh
5	1	1	1	11	2	627	407	24	5	36.283424	Ae
5	1	1	1	11	3	761	398	32	29	23.046577	fun
5	1	1	1	11	4	802	408	16	15	16.016541	Ň?
5	1	1	1	11	5	847	396	53	40	21.787064	Me
5	1	1	1	11	6	917	408	4	8	66.300354	€
5	1	1	1	11	7	965	407	22	12	77.018501	ae
5	1	1	1	11	8	1287	416	2	5	48.239464	b
4	1	1	1	12	0	500	414	937	45	-1	
5	1	1	1	12	1	500	416	126	19	8.344330	AZ
5	1	1	1	12	2	701	427	27	23	24.772423	ae
5	1	1	1	12	3	753	414	76	45	42.494965	PT.
5	1	1	1	12	4	858	418	86	29	26.235596	Petes.
5	1	1	1	12	5	1010	417	36	19	36.540031	Py
