level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2048	2048	-1	
2	1	1	0	0	0	0	40	1945	2008	-1	
3	1	1	1	0	0	0	40	1945	2008	-1	
4	1	1	1	1	0	1058	40	202	37	-1	
5	1	1	1	1	1	1058	40	115	30	55.009457	da
5	1	1	1	1	2	1203	58	57	19	37.239780	a
4	1	1	1	2	0	819	106	334	22	-1	
5	1	1	1	2	1	819	110	44	17	51.110859	i
5	1	1	1	2	2	976	106	3	2	79.706543	Ň
5	1	1	1	2	3	1148	120	5	8	49.660980	5
4	1	1	1	3	0	774	132	620	34	-1	
5	1	1	1	3	1	774	155	8	6	26.838242	P
5	1	1	1	3	2	870	143	11	4	71.887848	V
5	1	1	1	3	3	939	132	80	34	51.305908	S
5	1	1	1	3	4	1142	134	70	22	46.036182	TM
5	1	1	1	3	5	1357	139	37	26	50.914505	>.
4	1	1	1	4	0	771	164	649	41	-1	
5	1	1	1	4	1	771	164	16	41	26.483772	úd
5	1	1	1	4	2	912	172	48	30	63.452518	=
5	1	1	1	4	3	1176	171	95	29	49.817856	>.
5	1	1	1	4	4	1316	175	15	13	55.613384	3
5	1	1	1	4	5	1419	184	1	3	86.718262	)
4	1	1	1	5	0	920	200	590	46	-1	
5	1	1	1	5	1	920	208	13	17	71.516212	4
5	1	1	1	5	2	1112	209	41	37	40.474121	s
5	1	1	1	5	3	1168	206	2	2	32.707031	g
5	1	1	1	5	4	1294	200	31	25	55.839630	=
5	1	1	1	5	5	1453	218	57	19	24.609566	bt
4	1	1	1	6	0	715	233	1034	70	-1	
5	1	1	1	6	1	715	255	63	37	52.967838	UO
5	1	1	1	6	2	885	275	23	21	39.598888	O
5	1	1	1	6	3	991	255	42	33	56.263168	A
5	1	1	1	6	4	1392	233	52	56	65.263130	vi
5	1	1	1	6	5	1471	233	47	56	41.283287	aj
5	1	1	1	6	6	1737	263	12	40	92.637009	)
4	1	1	1	7	0	678	293	934	39	-1	
5	1	1	1	7	1	678	309	131	23	41.912651	V
5	1	1	1	7	2	1577	294	35	15	84.755898	~
4	1	1	1	8	0	670	326	979	46	-1	
5	1	1	1	8	1	670	337	30	17	29.891579	a
5	1	1	1	8	2	811	332	22	20	55.257347	=~
5	1	1	1	8	3	941	352	6	5	0.000000	;
5	1	1	1	8	4	1030	333	11	21	72.878647	4
5	1	1	1	8	5	1313	352	2	2	31.894821	S
5	1	1	1	8	6	1456	350	14	5	78.668549	4
5	1	1	1	8	7	1601	326	48	46	37.005508	a
4	1	1	1	9	0	541	356	1148	76	-1	
5	1	1	1	9	1	541	356	745	76	16.565506	BEÁNIA
5	1	1	1	9	2	1487	369	202	50	58.959633	SN
4	1	1	1	10	0	538	412	1060	20	-1	
5	1	1	1	10	1	538	419	19	13	14.632652	i
5	1	1	1	10	2	596	418	5	5	20.410675	Oe
5	1	1	1	10	3	848	416	12	9	36.653137	%
5	1	1	1	10	4	1075	424	3	2	67.559677	7
5	1	1	1	10	5	1560	412	38	9	60.184586	a.
4	1	1	1	11	0	527	395	1173	105	-1	
5	1	1	1	11	1	527	425	67	30	31.056252	ln
5	1	1	1	11	2	765	436	53	13	45.125290	>
5	1	1	1	11	3	1047	440	3	5	74.843040	‘
5	1	1	1	11	4	1068	395	180	105	56.180515	ad
5	1	1	1	11	5	1539	423	17	24	83.801147	Č
5	1	1	1	11	6	1569	435	6	9	31.723022	x
5	1	1	1	11	7	1631	417	33	31	38.311657	ald
5	1	1	1	11	8	1671	400	29	32	82.112839	K
4	1	1	1	12	0	486	441	1255	35	-1	
5	1	1	1	12	1	486	452	22	21	0.666718	flm
5	1	1	1	12	2	548	456	16	12	0.666718	da
5	1	1	1	12	3	760	460	10	12	11.871002	já
5	1	1	1	12	4	1242	456	12	12	40.962532	a
5	1	1	1	12	5	1420	451	52	23	59.629101	(ie
5	1	1	1	12	6	1538	441	28	35	46.016384	277
4	1	1	1	13	0	487	443	1205	52	-1	
5	1	1	1	13	1	487	443	335	52	26.998055	sz.
5	1	1	1	13	2	1231	468	33	9	62.281769	a
5	1	1	1	13	3	1432	467	64	20	35.488632	5
5	1	1	1	13	4	1633	470	59	7	36.937859	05.
5	1	1	1	13	5	1820	467	55	14	79.856720	2
4	1	1	1	14	0	493	509	1387	35	-1	
5	1	1	1	14	1	493	526	25	14	20.157852	14
5	1	1	1	14	2	693	526	6	13	0.000000	i
5	1	1	1	14	3	752	524	4	4	31.005676	pom
5	1	1	1	14	4	778	518	16	11	41.714256	a
5	1	1	1	14	5	1089	531	45	13	73.269356	—
5	1	1	1	14	6	1416	515	30	17	35.782585	S.
5	1	1	1	14	7	1608	509	34	12	40.084690	Te.
5	1	1	1	14	8	1683	511	38	27	28.296043	i
5	1	1	1	14	9	1871	516	9	15	18.493393	Ň
