level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1080	-1	
2	1	1	0	0	0	355	0	24	17	-1	
3	1	1	1	0	0	355	0	24	17	-1	
4	1	1	1	1	0	355	0	24	17	-1	
5	1	1	1	1	1	355	0	24	17	27.891167	bal
2	1	2	0	0	0	643	5	41	17	-1	
3	1	2	1	0	0	643	5	41	17	-1	
4	1	2	1	1	0	643	5	41	17	-1	
5	1	2	1	1	1	643	5	41	17	15.249359	~~
2	1	3	0	0	0	387	18	303	82	-1	
3	1	3	1	0	0	387	18	303	82	-1	
4	1	3	1	1	0	387	18	303	82	-1	
5	1	3	1	1	1	387	52	185	48	85.498009	TÝŽDENNÉ
5	1	3	1	1	2	599	18	91	82	96.253716	MENU
2	1	4	0	0	0	235	128	10	7	-1	
3	1	4	1	0	0	235	128	10	7	-1	
4	1	4	1	1	0	235	128	10	7	-1	
5	1	4	1	1	1	235	128	10	7	78.783707	y
2	1	5	0	0	0	238	123	4	7	-1	
3	1	5	1	0	0	238	123	4	7	-1	
4	1	5	1	1	0	238	123	4	7	-1	
5	1	5	1	1	1	238	123	4	7	48.919411	4
2	1	6	0	0	0	299	129	10	6	-1	
3	1	6	1	0	0	299	129	10	6	-1	
4	1	6	1	1	0	299	129	10	6	-1	
5	1	6	1	1	1	299	129	10	6	67.401909	v
2	1	7	0	0	0	303	123	3	7	-1	
3	1	7	1	0	0	303	123	3	7	-1	
4	1	7	1	1	0	303	123	3	7	-1	
5	1	7	1	1	1	303	123	3	7	43.722420	‘
2	1	8	0	0	0	414	117	251	19	-1	
3	1	8	1	0	0	414	117	251	19	-1	
4	1	8	1	1	0	414	117	251	19	-1	
5	1	8	1	1	1	414	117	23	19	87.968994	od
5	1	8	1	1	2	442	118	95	18	92.706474	21.9.2026
5	1	8	1	1	3	543	117	22	19	92.681473	do
5	1	8	1	1	4	571	118	94	18	92.681473	25.9.2026
2	1	9	0	0	0	741	118	131	22	-1	
3	1	9	1	0	0	741	118	131	22	-1	
4	1	9	1	1	0	741	118	131	22	-1	
5	1	9	1	1	1	741	118	69	22	88.221016	Vpivárni
5	1	9	1	1	2	814	118	9	18	63.693779	k
5	1	9	1	1	3	826	123	46	13	63.693779	menu
2	1	10	0	0	0	239	138	13	13	-1	
3	1	10	1	0	0	239	138	13	13	-1	
4	1	10	1	1	0	239	138	13	13	-1	
5	1	10	1	1	1	239	138	13	13	78.311188	x
2	1	11	0	0	0	293	143	10	8	-1	
3	1	11	1	0	0	293	143	10	8	-1	
4	1	11	1	1	0	293	143	10	8	-1	
5	1	11	1	1	1	293	143	10	8	27.532890	ps
2	1	12	0	0	0	296	138	10	7	-1	
3	1	12	1	0	0	296	138	10	7	-1	
4	1	12	1	1	0	296	138	10	7	-1	
5	1	12	1	1	1	296	138	10	7	37.302979	č
2	1	13	0	0	0	206	157	135	24	-1	
3	1	13	1	0	0	206	157	135	24	-1	
4	1	13	1	1	0	206	157	135	24	-1	
5	1	13	1	1	1	206	157	135	24	91.235001	BLUEBELL
2	1	14	0	0	0	467	154	145	18	-1	
3	1	14	1	0	0	467	154	145	18	-1	
4	1	14	1	1	0	467	154	145	18	-1	
5	1	14	1	1	1	467	154	19	18	91.047775	0d
5	1	14	1	1	2	493	154	44	18	92.634605	11:00
5	1	14	1	1	3	542	154	20	18	96.688629	do
5	1	14	1	1	4	568	154	44	18	96.018417	14:00
2	1	15	0	0	0	761	148	90	23	-1	
3	1	15	1	0	0	761	148	90	23	-1	
4	1	15	1	1	0	761	148	90	23	-1	
5	1	15	1	1	1	761	148	48	18	96.415337	džbán
5	1	15	1	1	2	812	148	39	23	96.415337	vody
2	1	16	0	0	0	206	186	135	13	-1	
3	1	16	1	0	0	206	186	135	13	-1	
4	1	16	1	1	0	206	186	135	13	-1	
5	1	16	1	1	1	206	190	20	4	86.945953	—
5	1	16	1	1	2	237	186	104	13	30.854912	PIVÁREŇ
5	1	16	1	1	3	314	180	31	28	30.854912	—
2	1	17	0	0	0	766	178	82	24	-1	
3	1	17	1	0	0	766	178	82	24	-1	
4	1	17	1	1	0	766	178	82	24	-1	
5	1	17	1	1	1	766	178	82	24	71.743484	sdtronom
2	1	18	0	0	0	772	204	70	22	-1	
3	1	18	1	0	0	772	204	70	22	-1	
4	1	18	1	1	0	772	204	70	22	-1	
5	1	18	1	1	1	772	204	70	22	96.734207	GRATIS
2	1	19	0	0	0	496	224	89	19	-1	
3	1	19	1	0	0	496	224	89	19	-1	
4	1	19	1	1	0	496	224	89	19	-1	
5	1	19	1	1	1	496	224	89	19	91.977638	POLIEVKY
2	1	20	0	0	0	418	259	243	24	-1	
3	1	20	1	0	0	418	259	243	24	-1	
4	1	20	1	1	0	418	259	243	24	-1	
5	1	20	1	1	1	418	259	40	23	90.491051	0,331
5	1	20	1	1	2	467	255	49	32	95.956566	Kurací
5	1	20	1	1	3	523	255	37	32	89.607262	Vývar
5	1	20	1	1	4	572	268	23	12	90.654045	139
5	1	20	1	1	5	609	260	52	21	92.164742	2,00€
2	1	21	0	0	0	394	294	291	24	-1	
3	1	21	1	0	0	394	294	291	24	-1	
4	1	21	1	1	0	394	294	291	24	-1	
5	1	21	1	1	1	394	294	40	23	89.953613	0,331
5	1	21	1	1	2	442	294	44	19	91.944229	Podľa
5	1	21	1	1	3	494	294	57	24	91.944229	Dennej
5	1	21	1	1	4	558	294	61	24	96.152802	Ponuky
5	1	21	1	1	5	632	295	53	21	96.864067	2,00€
2	1	22	0	0	0	395	328	289	23	-1	
3	1	22	1	0	0	395	328	289	23	-1	
4	1	22	1	1	0	395	328	289	23	-1	
5	1	22	1	1	1	395	328	41	23	91.568413	0,331
5	1	22	1	1	2	443	328	69	19	94.256577	Polievka
5	1	22	1	1	3	518	328	99	19	96.318695	Samostatne
5	1	22	1	1	4	632	329	52	21	96.883286	3,50€
2	1	23	0	0	0	439	430	202	28	-1	
3	1	23	1	0	0	439	430	202	28	-1	
4	1	23	1	1	0	439	430	202	28	-1	
5	1	23	1	1	1	439	432	61	19	96.699181	BIZNIS
5	1	23	1	1	2	506	432	54	19	96.408035	MENU
5	1	23	1	1	3	568	430	3	28	95.233284	|
5	1	23	1	1	4	578	433	63	21	95.233284	11,90€
2	1	24	0	0	0	54	464	971	27	-1	
3	1	24	1	0	0	54	464	971	27	-1	
4	1	24	1	1	0	54	464	971	27	-1	
5	1	24	1	1	1	54	467	79	19	96.971115	Grilované
5	1	24	1	1	2	140	467	60	19	93.280701	Kuracie
5	1	24	1	1	3	206	467	39	19	76.899780	Prsia
5	1	24	1	1	4	249	467	74	19	76.899780	“Diana”
5	1	24	1	1	5	320	460	6	36	92.725632	s
5	1	24	1	1	6	329	467	109	19	90.236969	Cheddarovou
5	1	24	1	1	7	444	467	78	19	92.660912	Omáčkou
5	1	24	1	1	8	527	467	8	20	93.281868	/
5	1	24	1	1	9	540	467	74	24	96.917343	Opekané
5	1	24	1	1	10	620	467	40	24	96.682755	Baby
5	1	24	1	1	11	665	467	83	24	91.133919	Zemiaky
5	1	24	1	1	12	740	460	9	36	93.291588	/
5	1	24	1	1	13	754	467	96	24	94.389984	Broskyňový
5	1	24	1	1	14	854	467	27	19	93.295715	Gél
5	1	24	1	1	15	886	467	8	20	93.117188	/
5	1	24	1	1	16	899	464	60	22	96.954079	Čerstvé
5	1	24	1	1	17	965	467	60	24	96.991684	Bylinky
2	1	25	0	0	0	471	502	138	24	-1	
3	1	25	1	0	0	471	502	138	24	-1	
4	1	25	1	1	0	471	502	138	24	-1	
5	1	25	1	1	1	471	502	110	24	91.605911	180/250/50g
5	1	25	1	1	2	587	511	22	12	95.292770	137
2	1	26	0	0	0	429	567	221	30	-1	
3	1	26	1	0	0	429	567	221	30	-1	
4	1	26	1	1	0	429	567	221	30	-1	
5	1	26	1	1	1	429	567	91	23	95.515953	TRADIČNÉ
5	1	26	1	1	2	527	571	54	19	96.549736	MENU
5	1	26	1	1	3	589	569	3	28	86.858330	|
5	1	26	1	1	4	597	569	53	28	86.858330	8,90€
2	1	27	0	0	0	129	606	821	24	-1	
3	1	27	1	0	0	129	606	821	24	-1	
4	1	27	1	1	0	129	606	821	24	-1	
5	1	27	1	1	1	129	606	91	24	94.292084	Zemiakový
5	1	27	1	1	2	225	606	68	19	94.778397	Prívarok
5	1	27	1	1	3	298	611	7	14	93.306252	s
5	1	27	1	1	4	311	606	96	24	91.704597	Bravčovými
5	1	27	1	1	5	413	606	79	19	92.450462	Fašírkami
5	1	27	1	1	6	497	606	8	20	93.243507	/
5	1	27	1	1	7	511	606	81	24	93.157860	Paprikový
5	1	27	1	1	8	597	606	32	24	93.162926	Olej
5	1	27	1	1	9	634	606	8	20	92.339317	/
5	1	27	1	1	10	648	606	88	24	92.339317	Barčiansky
5	1	27	1	1	11	741	606	52	19	72.152672	Chlieb
5	1	27	1	1	12	812	606	110	24	30.891602	350/180/50g
5	1	27	1	1	13	928	615	22	12	68.570457	147
2	1	28	0	0	0	435	673	208	28	-1	
