level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2048	2048	-1	
2	1	1	0	0	0	0	26	2048	1969	-1	
3	1	1	1	0	0	0	26	2048	1969	-1	
4	1	1	1	1	0	760	33	153	22	-1	
5	1	1	1	1	1	760	47	11	8	88.101616	—
5	1	1	1	1	2	899	33	14	17	67.670715	s
4	1	1	1	2	0	483	26	931	109	-1	
5	1	1	1	2	1	483	26	931	109	10.882225	TINA.
4	1	1	1	3	0	386	139	1227	43	-1	
5	1	1	1	3	1	386	139	103	43	27.640022	rá
5	1	1	1	3	2	1601	140	12	22	12.169563	D
4	1	1	1	4	0	535	186	1291	175	-1	
5	1	1	1	4	1	535	332	30	29	26.866089	a
5	1	1	1	4	2	595	186	122	146	41.478039	Ty
5	1	1	1	4	3	841	294	6	2	27.298981	Ň
5	1	1	1	4	4	1111	300	36	21	0.000000	-~
5	1	1	1	4	5	1379	201	116	117	54.499439	4
5	1	1	1	4	6	1771	237	55	67	31.620506	M
4	1	1	1	5	0	1125	329	28	20	-1	
5	1	1	1	5	1	1125	329	28	20	65.604721	a
4	1	1	1	6	0	785	344	1167	34	-1	
5	1	1	1	6	1	785	351	23	26	95.020126	>
5	1	1	1	6	2	1306	344	29	34	76.755882	»
4	1	1	1	7	0	0	325	1971	204	-1	
5	1	1	1	7	1	0	403	113	74	50.439270	.
5	1	1	1	7	2	241	325	181	204	34.587372	va
5	1	1	1	7	3	1394	363	70	151	39.888222	rf
5	1	1	1	7	4	1848	344	123	116	0.000000	Ti
4	1	1	1	8	0	1052	422	387	33	-1	
5	1	1	1	8	1	1052	450	33	5	21.889175	sá.
5	1	1	1	8	2	1342	440	9	3	36.183769	3
5	1	1	1	8	3	1404	422	35	21	66.637291	m
4	1	1	1	9	0	950	439	1098	79	-1	
5	1	1	1	9	1	950	476	96	23	51.501701	V.
5	1	1	1	9	2	1058	455	3	2	0.000000	A
5	1	1	1	9	3	1168	455	32	36	0.000000	S.
5	1	1	1	9	4	1257	469	4	4	37.788109	,
5	1	1	1	9	5	1270	454	64	48	18.641785	NY)
5	1	1	1	9	6	1448	465	19	12	44.319962	my
5	1	1	1	9	7	1491	443	49	42	7.221680	EE.)
5	1	1	1	9	8	1591	457	24	21	41.608269	a
5	1	1	1	9	9	1965	439	83	79	80.220123	%
4	1	1	1	10	0	298	462	1453	88	-1	
5	1	1	1	10	1	298	502	26	23	61.981812	>
5	1	1	1	10	2	722	506	214	33	48.758881	We
5	1	1	1	10	3	1229	501	26	12	40.390476	2
5	1	1	1	10	4	1616	475	135	36	11.457718	>
4	1	1	1	11	0	483	524	1543	132	-1	
5	1	1	1	11	1	483	570	58	86	42.117657	tes
5	1	1	1	11	2	713	580	76	57	62.665028	s?
5	1	1	1	11	3	865	579	110	64	51.199303	mt:
5	1	1	1	11	4	1002	585	57	29	27.566750	né
5	1	1	1	11	5	1175	592	19	20	16.813675	PP
5	1	1	1	11	6	1253	570	7	9	23.464027	atm
5	1	1	1	11	7	1440	549	99	104	67.628166	až
5	1	1	1	11	8	1667	551	77	41	72.245071	“
5	1	1	1	11	9	1823	597	20	16	25.714157	x
5	1	1	1	11	10	1900	524	126	130	72.531494	LY
4	1	1	1	12	0	770	608	1005	51	-1	
5	1	1	1	12	1	770	634	41	25	63.296913	©
5	1	1	1	12	2	950	618	34	35	22.015015	NY
5	1	1	1	12	3	1104	612	144	46	28.289078	AC,
5	1	1	1	12	4	1261	611	130	45	30.934731	AE
5	1	1	1	12	5	1423	614	26	23	27.049347	vy
5	1	1	1	12	6	1490	613	86	41	17.001076	V
5	1	1	1	12	7	1755	608	20	23	52.876312	v
4	1	1	1	13	0	379	631	1569	134	-1	
5	1	1	1	13	1	379	663	45	30	39.587029	f
5	1	1	1	13	2	472	632	45	72	39.587029	“
5	1	1	1	13	3	579	688	61	77	34.521294	v“
5	1	1	1	13	4	785	649	94	81	0.000000	5%
5	1	1	1	13	5	921	641	361	75	21.429199	TY
5	1	1	1	13	6	1334	640	186	71	10.051994	eT
5	1	1	1	13	7	1578	646	105	79	25.511055	AD
5	1	1	1	13	8	1850	631	98	99	85.016068	A
4	1	1	1	14	0	383	714	1331	94	-1	
5	1	1	1	14	1	383	733	106	75	35.537193	ay,
5	1	1	1	14	2	730	722	469	68	16.745216	snov
5	1	1	1	14	3	1367	714	347	76	38.918644	281)“
4	1	1	1	15	0	581	757	1367	89	-1	
5	1	1	1	15	1	581	805	33	40	49.366802	+
5	1	1	1	15	2	750	775	161	67	33.225334	ce
5	1	1	1	15	3	921	787	199	56	31.579330	Cig
5	1	1	1	15	4	1130	789	114	48	23.272324	ee
5	1	1	1	15	5	1365	823	25	11	25.253937	A
5	1	1	1	15	6	1414	757	118	75	9.848511	Ss
5	1	1	1	15	7	1542	779	72	51	25.257858	ee
