level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2048	2048	-1	
2	1	1	0	0	0	0	0	2048	2048	-1	
3	1	1	1	0	0	0	0	2048	2048	-1	
4	1	1	1	1	0	229	0	1751	35	-1	
5	1	1	1	1	1	229	3	70	21	14.564583	O
5	1	1	1	1	2	340	1	98	24	20.658577	TY
5	1	1	1	1	3	1072	6	64	16	23.243538	s
5	1	1	1	1	4	1509	0	43	35	80.041443	=:
5	1	1	1	1	5	1724	20	3	2	18.577133	:
5	1	1	1	1	6	1972	10	8	7	30.845703	4
4	1	1	1	2	0	301	0	1633	69	-1	
5	1	1	1	2	1	301	7	168	42	13.011520	ee
5	1	1	1	2	2	865	5	199	64	46.210457	1.
5	1	1	1	2	3	1340	25	31	33	0.000000	.
5	1	1	1	2	4	1526	17	108	50	0.000000	„íä
5	1	1	1	2	5	1685	13	56	56	85.058449	A
5	1	1	1	2	6	1905	0	29	41	63.488201	-
4	1	1	1	3	0	376	52	1385	11	-1	
5	1	1	1	3	1	376	52	37	6	0.000000	se
5	1	1	1	3	2	852	52	12	9	55.603374	A
5	1	1	1	3	3	1754	60	7	3	47.449257	M
4	1	1	1	4	0	87	59	1684	29	-1	
5	1	1	1	4	1	87	75	5	5	46.248726	,
5	1	1	1	4	2	763	59	91	21	36.180496	—
5	1	1	1	4	3	1000	72	8	1	0.000000	‘
5	1	1	1	4	4	1594	67	29	21	46.517033	W
5	1	1	1	4	5	1753	64	18	14	42.953987	ja
4	1	1	1	5	0	708	86	1092	54	-1	
5	1	1	1	5	1	708	97	52	18	50.708305	——
5	1	1	1	5	2	836	88	5	4	52.591568	Z
5	1	1	1	5	3	990	94	14	8	10.863586	za
5	1	1	1	5	4	1549	98	24	10	43.790253	x
5	1	1	1	5	5	1761	107	39	33	80.576347	a
4	1	1	1	6	0	735	131	553	29	-1	
5	1	1	1	6	1	735	131	16	23	0.000000	Ti
5	1	1	1	6	2	911	131	6	6	24.622192	g
5	1	1	1	6	3	1280	155	8	5	30.184082	i
4	1	1	1	7	0	742	143	1277	54	-1	
5	1	1	1	7	1	742	178	2	3	82.724762	i
5	1	1	1	7	2	948	150	20	19	46.412346	A
5	1	1	1	7	3	1168	176	3	5	17.374435	'
5	1	1	1	7	4	1670	165	5	4	49.080177	m
5	1	1	1	7	5	1696	143	54	39	75.584854	A
5	1	1	1	7	6	1916	148	33	49	18.568634	h.
5	1	1	1	7	7	1965	173	22	20	36.890099	1
5	1	1	1	7	8	2013	180	6	3	35.935402	*
4	1	1	1	8	0	446	153	1514	70	-1	
5	1	1	1	8	1	446	190	3	2	9.656754	‘
5	1	1	1	8	2	765	194	2	4	30.200890	p
5	1	1	1	8	3	1168	181	11	19	85.229866	>
5	1	1	1	8	4	1780	153	93	70	49.693356	»®
4	1	1	1	9	0	1888	189	127	39	-1	
5	1	1	1	9	1	1888	189	74	26	31.619843	+.
5	1	1	1	9	2	1996	208	19	20	88.937515	é
4	1	1	1	10	0	309	222	1662	34	-1	
5	1	1	1	10	1	309	222	45	26	26.438591	Mo
5	1	1	1	10	2	723	234	27	21	82.903351	-
5	1	1	1	10	3	942	229	4	4	62.592896	3
5	1	1	1	10	4	1246	238	2	2	54.757278	2
5	1	1	1	10	5	1317	231	27	17	70.624199	=
5	1	1	1	10	6	1935	222	36	34	18.242722	-
4	1	1	1	11	0	250	242	1600	64	-1	
5	1	1	1	11	1	250	251	54	37	59.370193	“a
5	1	1	1	11	2	841	260	30	28	79.953117	f
5	1	1	1	11	3	1150	255	58	51	47.572613	sill
5	1	1	1	11	4	1286	267	15	19	76.269135	V
5	1	1	1	11	5	1812	242	38	36	40.900673	+
4	1	1	1	12	0	226	288	1620	57	-1	
5	1	1	1	12	1	226	291	20	15	51.933929	Le
5	1	1	1	12	2	414	311	2	2	40.134029	P
5	1	1	1	12	3	828	297	9	18	60.567112	ď
5	1	1	1	12	4	864	288	31	57	45.244389	Pi
5	1	1	1	12	5	1278	288	6	7	67.036026	V
5	1	1	1	12	6	1813	293	33	23	47.527939	~
4	1	1	1	13	0	1104	385	838	15	-1	
5	1	1	1	13	1	1104	388	16	12	39.184799	“
5	1	1	1	13	2	1931	385	11	13	30.345169	x
4	1	1	1	14	0	85	396	1889	40	-1	
5	1	1	1	14	1	85	408	25	23	59.580936	A“
5	1	1	1	14	2	1080	425	8	4	33.313370	3
5	1	1	1	14	3	1098	400	15	31	35.415413	a
5	1	1	1	14	4	1164	411	8	25	44.975319	í
5	1	1	1	14	5	1251	421	3	8	57.876907	U
5	1	1	1	14	6	1941	396	33	32	80.228592	<
4	1	1	1	15	0	60	419	1984	52	-1	
5	1	1	1	15	1	60	430	28	30	65.752121	fa
5	1	1	1	15	2	339	440	2	2	38.132187	|
5	1	1	1	15	3	448	452	15	7	27.214645	-
5	1	1	1	15	4	695	435	138	23	0.000000	a?
5	1	1	1	15	5	1078	431	3	8	82.823120	i
5	1	1	1	15	6	1155	445	26	24	85.816849	»
5	1	1	1	15	7	1368	436	7	6	47.068855	4
5	1	1	1	15	8	2016	419	28	52	84.846802	i
4	1	1	1	16	0	17	460	931	40	-1	
5	1	1	1	16	1	17	460	42	40	59.717144	vy
5	1	1	1	16	2	325	482	19	10	29.689362	m
5	1	1	1	16	3	460	464	14	36	9.931831	7.
5	1	1	1	16	4	515	480	5	4	38.380112	75
5	1	1	1	16	5	538	464	7	19	43.703468	ť
5	1	1	1	16	6	600	476	8	9	78.550392	¥
