level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2048	2047	-1	
2	1	1	0	0	0	0	8	2048	2039	-1	
3	1	1	1	0	0	0	8	2048	2039	-1	
4	1	1	1	1	0	713	54	24	25	-1	
5	1	1	1	1	1	713	54	24	25	52.719376	č
4	1	1	1	2	0	396	30	908	179	-1	
5	1	1	1	2	1	396	124	129	85	59.488571	<
5	1	1	1	2	2	762	30	300	82	31.018364	INTO
5	1	1	1	2	3	1176	45	128	81	43.110130	AY
4	1	1	1	3	0	702	8	1221	151	-1	
5	1	1	1	3	1	702	152	9	7	51.506344	x
5	1	1	1	3	2	1696	8	78	35	41.701351	=
5	1	1	1	3	3	1921	12	2	2	47.895355	3
4	1	1	1	4	0	212	46	1502	276	-1	
5	1	1	1	4	1	212	264	28	58	71.776718	‘
5	1	1	1	4	2	381	188	96	63	85.596718	>
5	1	1	1	4	3	1206	68	134	74	32.136589	vo
5	1	1	1	4	4	1576	91	11	8	42.931206	ST
5	1	1	1	4	5	1804	70	32	7	54.061646	ms
5	1	1	1	4	6	1922	23	64	26	42.880341	ay
4	1	1	1	5	0	182	106	1282	251	-1	
5	1	1	1	5	1	182	210	513	147	38.945015	ie
5	1	1	1	5	2	1447	72	512	141	56.085705	>
4	1	1	1	6	0	154	145	1768	269	-1	
5	1	1	1	6	1	154	308	419	106	33.158478	TÚ
5	1	1	1	6	2	984	242	18	8	30.577408	WEF
5	1	1	1	6	3	1329	241	17	7	51.769310	ap
5	1	1	1	6	4	1504	145	418	76	76.629669	Z
4	1	1	1	7	0	482	219	1513	208	-1	
5	1	1	1	7	1	482	350	235	77	77.054077	=
5	1	1	1	7	2	1158	274	221	55	31.177582	Pa.
5	1	1	1	7	3	1993	219	2	2	84.567497	|
4	1	1	1	8	0	0	227	1978	308	-1	
5	1	1	1	8	1	0	456	56	79	66.225327	é
5	1	1	1	8	2	325	424	141	62	75.031158	v
5	1	1	1	8	3	673	421	61	44	24.091446	U
5	1	1	1	8	4	798	369	93	103	57.590019	VÁ
5	1	1	1	8	5	1065	308	101	111	58.799026	S
5	1	1	1	8	6	1437	314	126	54	27.337433	a
5	1	1	1	8	7	1664	227	44	110	88.297661	|
5	1	1	1	8	8	1897	233	151	51	46.092381	>.
4	1	1	1	9	0	0	286	2032	336	-1	
5	1	1	1	9	1	0	560	122	62	17.533859	A
5	1	1	1	9	2	194	500	73	104	0.000000	gy
5	1	1	1	9	3	411	366	196	260	32.861153	oy
5	1	1	1	9	4	695	414	358	146	32.020142	SR
5	1	1	1	9	5	1132	370	380	102	0.000000	ote
5	1	1	1	9	6	1551	286	481	128	26.933754	oN
4	1	1	1	10	0	126	348	1918	303	-1	
5	1	1	1	10	1	126	640	4	11	47.174744	;
5	1	1	1	10	2	228	607	3	4	0.021706	’
5	1	1	1	10	3	699	540	47	28	50.000488	m»
5	1	1	1	10	4	760	525	29	45	59.747482	X]
5	1	1	1	10	5	802	525	6	12	3.685608	A
5	1	1	1	10	6	836	517	55	26	44.818615	V
5	1	1	1	10	7	991	491	26	30	62.146046	b
5	1	1	1	10	8	1074	498	12	4	35.824898	a
5	1	1	1	10	9	1106	485	43	25	9.653206	O)
5	1	1	1	10	10	1178	464	38	25	49.007572	VČ
5	1	1	1	10	11	1236	452	93	49	15.450630	VN
5	1	1	1	10	12	1410	484	1	3	79.800552	|
5	1	1	1	10	13	1468	450	14	11	33.408310	.
5	1	1	1	10	14	1632	442	3	4	24.093521	,
5	1	1	1	10	15	2036	348	8	9	0.248146	č
4	1	1	1	11	0	123	397	1801	291	-1	
5	1	1	1	11	1	123	583	201	105	37.536755	ve
5	1	1	1	11	2	645	623	29	20	0.091393	.
5	1	1	1	11	3	753	478	99	176	42.045132	Wee
5	1	1	1	11	4	925	489	74	161	21.423248	a
5	1	1	1	11	5	1111	482	233	110	42.692757	SNA
5	1	1	1	11	6	1384	495	88	33	51.247749	2,
5	1	1	1	11	7	1542	450	83	55	41.702438	m
5	1	1	1	11	8	1677	426	51	60	16.270065	2
5	1	1	1	11	9	1855	441	11	14	22.276100	—
5	1	1	1	11	10	1895	397	29	67	91.488480	/
4	1	1	1	12	0	81	467	1816	276	-1	
5	1	1	1	12	1	81	692	54	51	15.421593	a
5	1	1	1	12	2	199	693	6	43	63.361950	/
5	1	1	1	12	3	456	681	19	35	48.004219	x
5	1	1	1	12	4	591	676	7	23	65.561523	i
5	1	1	1	12	5	605	656	61	46	64.555710	b.
5	1	1	1	12	6	694	640	105	53	42.122799	A
5	1	1	1	12	7	718	627	107	41	47.024811	ZAX
5	1	1	1	12	8	925	599	73	58	69.148964	S
5	1	1	1	12	9	1006	610	39	54	18.778320	NÁ
5	1	1	1	12	10	1119	540	94	103	50.820389	Ná.
5	1	1	1	12	11	1222	560	59	57	33.313171	„k
5	1	1	1	12	12	1301	552	52	61	2.404472	s
5	1	1	1	12	13	1381	532	38	62	51.945244	ň
5	1	1	1	12	14	1610	508	27	8	0.000000	A
5	1	1	1	12	15	1873	467	24	38	51.190052	A
4	1	1	1	13	0	137	543	1668	286	-1	
5	1	1	1	13	1	137	716	167	113	61.134640	f=
5	1	1	1	13	2	576	687	204	112	39.605976	nad
5	1	1	1	13	3	818	670	75	63	16.423416	(Ň
5	1	1	1	13	4	976	627	206	67	24.989204	ug
5	1	1	1	13	5	1200	603	158	85	41.158489	eS
5	1	1	1	13	6	1385	617	26	34	8.032776	M
5	1	1	1	13	7	1762	543	43	50	62.172886	N
4	1	1	1	14	0	570	609	1250	197	-1	
5	1	1	1	14	1	570	753	94	53	38.456207	Pe
5	1	1	1	14	2	673	746	78	56	41.019226	bad
5	1	1	1	14	3	776	736	52	40	70.434296	a
5	1	1	1	14	4	990	706	6	7	45.193100	‘
5	1	1	1	14	5	1091	681	75	63	36.904953	Sed)
5	1	1	1	14	6	1196	676	122	51	46.696968	Wiig
5	1	1	1	14	7	1343	648	119	51	63.620651	2»
5	1	1	1	14	8	1813	609	7	7	57.745667	,
