level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2011	2011	-1	
2	1	1	0	0	0	66	0	1945	1842	-1	
3	1	1	1	0	0	66	0	1945	993	-1	
4	1	1	1	1	0	71	0	1819	34	-1	
5	1	1	1	1	1	71	21	16	13	38.342533	g
5	1	1	1	1	2	765	0	6	2	30.966713	:
5	1	1	1	1	3	1887	26	3	2	45.222557	;
4	1	1	1	2	0	945	181	983	85	-1	
5	1	1	1	2	1	945	181	12	3	52.636181	.
5	1	1	1	2	2	1005	204	103	62	67.055435	~
5	1	1	1	2	3	1204	210	48	28	0.000000	“Ss
5	1	1	1	2	4	1886	211	42	27	33.821770	4
4	1	1	1	3	0	517	376	1259	147	-1	
5	1	1	1	3	1	517	444	18	8	65.559372	a
5	1	1	1	3	2	636	405	138	77	21.370934	“u
5	1	1	1	3	3	1083	377	176	146	74.890060	~
5	1	1	1	3	4	1559	414	20	12	15.269173	V
5	1	1	1	3	5	1719	416	57	43	68.948944	„>
4	1	1	1	4	0	275	463	1399	46	-1	
5	1	1	1	4	1	275	464	36	28	67.878448	a
5	1	1	1	4	2	503	463	36	46	32.610100	A
5	1	1	1	4	3	1459	492	8	7	51.556316	|
5	1	1	1	4	4	1671	462	76	57	34.013298	NÝ,
4	1	1	1	5	0	309	511	1643	141	-1	
5	1	1	1	5	1	309	586	26	34	22.612030	ge
5	1	1	1	5	2	760	538	26	28	40.172119	15
5	1	1	1	5	3	881	584	39	38	33.194336	40M
5	1	1	1	5	4	1071	581	2	4	66.113998	|
5	1	1	1	5	5	1104	575	27	31	83.574066	k
5	1	1	1	5	6	1226	537	89	93	52.535915	>
5	1	1	1	5	7	1381	536	101	96	38.922348	a.
5	1	1	1	5	8	1571	511	219	141	27.209091	a
5	1	1	1	5	9	1819	562	6	10	2.008354	.
5	1	1	1	5	10	1866	543	86	89	50.378792	A
4	1	1	1	6	0	66	630	1945	72	-1	
5	1	1	1	6	1	66	630	44	59	43.578156	M
5	1	1	1	6	2	302	635	1	44	34.749023	A
5	1	1	1	6	3	416	641	112	45	51.973118	S
5	1	1	1	6	4	638	662	13	6	39.292953	r
5	1	1	1	6	5	732	676	46	16	24.237129	z
5	1	1	1	6	6	1200	686	3	5	38.201035	|
5	1	1	1	6	7	1396	631	615	71	36.839439	od
4	1	1	1	7	0	138	645	1796	142	-1	
5	1	1	1	7	1	138	747	20	36	31.028664	V
5	1	1	1	7	2	292	722	185	43	49.194912	BAY
5	1	1	1	7	3	567	696	71	72	43.945900	Ú
5	1	1	1	7	4	804	645	154	142	34.085548	„M
5	1	1	1	7	5	994	703	315	62	17.010658	ian
5	1	1	1	7	6	1287	677	10	105	78.622894	|
5	1	1	1	7	7	1342	703	128	30	25.438515	Saale
5	1	1	1	7	8	1618	681	56	79	26.087425	S
5	1	1	1	7	9	1877	693	124	71	43.977768	r
4	1	1	1	8	0	208	750	1788	55	-1	
5	1	1	1	8	1	208	750	48	43	20.172417	&
5	1	1	1	8	2	456	760	69	37	48.311188	Be
5	1	1	1	8	3	598	778	22	16	49.295963	iia
5	1	1	1	8	4	1181	766	88	39	64.886978	7
5	1	1	1	8	5	1557	776	53	21	53.851601	MAJ
5	1	1	1	8	6	1678	760	22	36	67.928604	Á
5	1	1	1	8	7	1786	792	4	6	53.599720	‘
5	1	1	1	8	8	1926	767	70	37	36.952843	a.“
4	1	1	1	9	0	192	744	1819	118	-1	
5	1	1	1	9	1	192	800	60	60	84.796837	a
5	1	1	1	9	2	524	791	42	21	42.973114	=~
5	1	1	1	9	3	659	804	17	15	47.377350	5
5	1	1	1	9	4	899	807	25	31	39.671669	>
5	1	1	1	9	5	1057	744	111	118	71.577087	"M
5	1	1	1	9	6	1182	807	32	35	60.337711	M.
5	1	1	1	9	7	1534	815	5	1	60.469532	AJ
5	1	1	1	9	8	1719	799	121	63	37.059940	"BRS
5	1	1	1	9	9	1958	799	53	52	6.855133	Ve
4	1	1	1	10	0	106	843	1873	105	-1	
5	1	1	1	10	1	106	892	2	2	88.989204	|
5	1	1	1	10	2	623	893	23	23	18.243347	A
5	1	1	1	10	3	1151	879	145	50	29.241211	“3
5	1	1	1	10	4	1373	843	121	64	48.725666	v.
5	1	1	1	10	5	1515	855	52	47	47.710480	a
5	1	1	1	10	6	1635	862	94	86	66.546417	a.
5	1	1	1	10	7	1766	852	57	78	42.684841	A“
4	1	1	1	11	0	133	904	1853	89	-1	
5	1	1	1	11	1	133	924	67	69	43.174850	Ja
5	1	1	1	11	2	710	955	56	27	67.266388	Ná.
5	1	1	1	11	3	978	936	14	30	93.662544	a
5	1	1	1	11	4	1314	926	104	45	45.347305	wb
5	1	1	1	11	5	1459	928	67	48	24.777451	aa.
5	1	1	1	11	6	1622	920	280	53	33.872559	Ta“
5	1	1	1	11	7	1926	904	60	75	39.064365	zá
3	1	1	2	0	0	71	948	1940	508	-1	
4	1	1	2	1	0	114	948	1897	132	-1	
5	1	1	2	1	1	114	966	12	25	41.685059	’
5	1	1	2	1	2	565	954	61	78	54.516205	LJ
5	1	1	2	1	3	706	948	40	65	73.532700	¥
5	1	1	2	1	4	764	987	25	7	32.998184	M
5	1	1	2	1	5	870	995	66	30	47.325687	©
5	1	1	2	1	6	1249	1007	111	26	29.190323	VY
5	1	1	2	1	7	1453	980	51	48	78.858856	v
5	1	1	2	1	8	1559	1022	9	11	82.146454	>
5	1	1	2	1	9	1667	964	27	27	92.722916	>
5	1	1	2	1	10	1738	990	98	90	68.556274	v.
5	1	1	2	1	11	1938	998	15	37	4.509262	p
5	1	1	2	1	12	1970	990	41	47	34.842987	eS
4	1	1	2	2	0	689	1017	1322	99	-1	
5	1	1	2	2	1	689	1044	34	58	51.211010	v
5	1	1	2	2	2	1205	1044	25	47	4.482025	v
5	1	1	2	2	3	1255	1017	30	94	52.917053	V
5	1	1	2	2	4	1327	1042	43	65	49.575165	|
5	1	1	2	2	5	1405	1042	219	68	13.116493	Moye
5	1	1	2	2	6	1801	1067	100	49	50.069813	eg
5	1	1	2	2	7	1969	1038	42	70	14.911156	|
4	1	1	2	3	0	192	1092	1802	85	-1	
5	1	1	2	3	1	192	1092	28	42	82.521255	\
5	1	1	2	3	2	525	1117	76	42	54.114895	LAD
5	1	1	2	3	3	697	1105	74	72	44.914009	ťa.
5	1	1	2	3	4	927	1114	30	50	52.839783	V
5	1	1	2	3	5	1042	1121	4	3	59.496914	%.
5	1	1	2	3	6	1210	1103	84	46	57.890072	Bi
5	1	1	2	3	7	1647	1103	55	63	82.389549	%
5	1	1	2	3	8	1831	1116	180	48	68.150772	TA.
4	1	1	2	4	0	582	1135	1429	89	-1	
5	1	1	2	4	1	582	1135	172	67	0.000000	i
5	1	1	2	4	2	851	1150	73	57	37.907776	AS,
5	1	1	2	4	3	988	1164	250	50	12.262108	ce
5	1	1	2	4	4	1389	1168	131	46	31.334259	ae
5	1	1	2	4	5	1647	1171	42	32	25.862900	‘+
5	1	1	2	4	6	1847	1160	164	64	29.425117	da
4	1	1	2	5	0	138	1201	1871	71	-1	
5	1	1	2	5	1	138	1211	18	42	47.944340	/
5	1	1	2	5	2	867	1219	3	3	0.000000	,
5	1	1	2	5	3	944	1218	30	26	23.667664	CY
5	1	1	2	5	4	1034	1212	34	24	42.718796	i>
5	1	1	2	5	5	1152	1224	16	24	38.570297	\
5	1	1	2	5	6	1210	1218	32	54	12.306229	A
5	1	1	2	5	7	1326	1224	68	29	82.340454	a
5	1	1	2	5	8	1437	1248	8	8	36.879887	1
5	1	1	2	5	9	1661	1224	15	13	67.706261	>
5	1	1	2	5	10	1840	1212	28	17	76.972298	84
5	1	1	2	5	11	1898	1224	43	29	18.402679	M.
5	1	1	2	5	12	1958	1201	51	43	78.419609	AQ
4	1	1	2	6	0	442	1239	1569	81	-1	
5	1	1	2	6	1	442	1254	119	57	23.971558	ox,
5	1	1	2	6	2	801	1239	15	57	3.255623	k
5	1	1	2	6	3	1011	1246	41	42	34.698196	9
5	1	1	2	6	4	1235	1293	11	14	96.416145	A
5	1	1	2	6	5	1358	1258	66	30	57.321159	(1
5	1	1	2	6	6	1664	1275	6	4	84.749603	4
5	1	1	2	6	7	1838	1264	62	11	27.915565	S,
5	1	1	2	6	8	1927	1287	12	19	47.926086	g
5	1	1	2	6	9	1972	1268	39	52	77.216301	a
4	1	1	2	7	0	328	1299	1680	85	-1	
5	1	1	2	7	1	328	1301	121	83	43.957214	er
5	1	1	2	7	2	494	1311	10	11	45.393494	>
5	1	1	2	7	3	893	1335	12	17	0.000000	.
5	1	1	2	7	4	975	1314	3	6	88.220634	(
5	1	1	2	7	5	1124	1311	31	27	49.223274	z
5	1	1	2	7	6	1252	1299	75	55	62.212730	are
5	1	1	2	7	7	1409	1338	8	7	37.275452	<
5	1	1	2	7	8	1539	1309	42	36	29.248558	7.
5	1	1	2	7	9	1635	1329	4	2	15.530403	)
5	1	1	2	7	10	1690	1340	10	7	86.093727	(
5	1	1	2	7	11	1823	1299	65	55	69.591385	Ú
5	1	1	2	7	12	1917	1311	91	67	49.988564	BA
4	1	1	2	8	0	1320	1355	685	31	-1	
5	1	1	2	8	1	1320	1370	45	9	50.345650	a
5	1	1	2	8	2	1617	1355	156	23	7.389908	PANA
5	1	1	2	8	3	1987	1360	18	26	24.823120	a.
4	1	1	2	9	0	71	1332	1940	124	-1	
5	1	1	2	9	1	71	1446	2	3	41.724510	|
5	1	1	2	9	2	148	1372	44	47	64.497681	&
5	1	1	2	9	3	312	1392	68	42	55.751854	he
5	1	1	2	9	4	521	1375	56	51	24.514618	-
5	1	1	2	9	5	722	1345	114	66	19.666046	M9
5	1	1	2	9	6	899	1337	59	119	72.877182	)
