level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2048	2048	-1	
2	1	1	0	0	0	30	0	2018	2048	-1	
3	1	1	1	0	0	39	0	1914	82	-1	
4	1	1	1	1	0	39	0	1331	52	-1	
5	1	1	1	1	1	39	9	35	43	69.655846	„A
5	1	1	1	1	2	1127	0	196	38	24.549263	ee
5	1	1	1	1	3	1341	0	29	38	49.367832	ll
4	1	1	1	2	0	1775	47	178	45	-1	
5	1	1	1	2	1	1775	47	35	17	18.343857	_
5	1	1	1	2	2	1938	57	15	35	41.147881	[3
3	1	1	2	0	0	30	116	2018	432	-1	
4	1	1	2	1	0	34	116	1969	126	-1	
5	1	1	2	1	1	34	138	144	104	68.226433	ai
5	1	1	2	1	2	1629	151	72	38	65.944565	a
5	1	1	2	1	3	1972	116	31	14	60.403076	=
4	1	1	2	2	0	30	197	2018	88	-1	
5	1	1	2	2	1	30	236	10	5	0.000000	,
5	1	1	2	2	2	1007	222	106	63	76.597305	T.
5	1	1	2	2	3	1210	228	49	27	60.543892	we
5	1	1	2	2	4	1515	244	8	4	37.934566	|
5	1	1	2	2	5	1831	229	121	45	0.000000	=
5	1	1	2	2	6	2045	197	3	6	61.131256	!
4	1	1	2	3	0	259	398	1537	150	-1	
5	1	1	2	3	1	259	471	38	55	37.812466	„A
5	1	1	2	3	2	496	467	29	31	67.087494	%
5	1	1	2	3	3	629	424	143	88	51.382961	ay
5	1	1	2	3	4	1086	398	181	150	73.717667	~
5	1	1	2	3	5	1409	451	77	29	41.216751	Met.
5	1	1	2	3	6	1516	400	77	70	69.995834	„a
5	1	1	2	3	7	1686	403	110	91	23.931343	oe
3	1	1	3	0	0	270	497	1576	101	-1	
4	1	1	3	1	0	489	497	1278	61	-1	
5	1	1	3	1	1	489	497	40	61	19.755280	Má
5	1	1	3	1	2	1431	516	48	14	46.355515	=:
5	1	1	3	1	3	1763	514	4	4	37.076614	)
4	1	1	3	2	0	270	540	1576	58	-1	
5	1	1	3	2	1	270	559	16	14	10.656677	2
5	1	1	3	2	2	470	568	13	22	90.179207	\
5	1	1	3	2	3	756	563	26	29	70.124924	3
5	1	1	3	2	4	1212	555	54	32	45.323883	a:
5	1	1	3	2	5	1406	563	40	28	73.233078	A
5	1	1	3	2	6	1748	540	18	28	66.494919	a
5	1	1	3	2	7	1805	583	41	15	68.871765	uf
3	1	1	4	0	0	45	535	2003	719	-1	
4	1	1	4	1	0	45	535	1930	183	-1	
5	1	1	4	1	1	45	657	45	61	71.005096	/
5	1	1	4	1	2	294	612	26	35	79.267303	a
5	1	1	4	1	3	446	591	45	34	83.123848	A
5	1	1	4	1	4	879	610	16	56	0.000000	ú
5	1	1	4	1	5	907	635	13	19	7.888336	j
5	1	1	4	1	6	1063	603	13	8	26.831551	oo
5	1	1	4	1	7	1173	569	150	66	28.633667	7
5	1	1	4	1	8	1390	566	106	97	53.286888	971
5	1	1	4	1	9	1554	608	88	42	34.203979	<<
5	1	1	4	1	10	1670	535	104	157	43.791256	ae
5	1	1	4	1	11	1783	567	26	44	22.752228	By
5	1	1	4	1	12	1888	568	87	92	27.019066	s
4	1	1	4	2	0	236	664	1651	98	-1	
5	1	1	4	2	1	236	668	46	40	29.058479	>
5	1	1	4	2	2	403	670	116	45	42.291183	a
5	1	1	4	2	3	630	691	143	30	40.437607	zna
5	1	1	4	2	4	808	675	141	87	0.000000	yy
5	1	1	4	2	5	1204	715	6	5	88.707993	Ň
5	1	1	4	2	6	1499	664	38	54	0.000000	M
5	1	1	4	2	7	1799	687	6	2	58.532810	?
5	1	1	4	2	8	1862	683	25	30	81.759735	th
4	1	1	4	3	0	203	710	1845	80	-1	
5	1	1	4	3	1	203	752	115	36	52.716988	A
5	1	1	4	3	2	423	757	30	29	33.214798	ži
5	1	1	4	3	3	557	725	73	60	22.968842	NÁ
5	1	1	4	3	4	995	733	322	57	24.693459	|
5	1	1	4	3	5	1351	733	49	6	39.956207	Z
5	1	1	4	3	6	1639	710	164	43	11.998436	ate
5	1	1	4	3	7	1900	714	148	72	0.000000	alee
4	1	1	4	4	0	118	769	1930	94	-1	
5	1	1	4	4	1	118	777	21	37	71.949593	f
5	1	1	4	4	2	190	783	47	55	26.341354	A
5	1	1	4	4	3	438	791	120	52	7.515572	Ets
5	1	1	4	4	4	650	836	20	14	92.891090	>
5	1	1	4	4	5	836	769	36	94	8.017616	"7
5	1	1	4	4	6	1061	840	4	4	0.000000	a
5	1	1	4	4	7	1267	797	11	50	40.989498	?
5	1	1	4	4	8	1548	788	43	31	51.057835	Vv
5	1	1	4	4	9	1621	787	97	45	43.048168	iP
5	1	1	4	4	10	1807	824	3	5	19.534111	5,
5	1	1	4	4	11	1950	802	7	7	74.019218	a
5	1	1	4	4	12	2019	789	27	54	24.164131	©
4	1	1	4	5	0	176	829	1872	84	-1	
5	1	1	4	5	1	176	831	60	62	80.787460	A
5	1	1	4	5	2	662	860	3	5	57.472153	/
5	1	1	4	5	3	897	840	28	31	35.168159	FY
5	1	1	4	5	4	1067	829	27	41	59.267559	“a
5	1	1	4	5	5	1188	857	32	17	53.202118	AB
5	1	1	4	5	6	1279	836	21	35	82.533920	|
5	1	1	4	5	7	1455	876	44	37	78.744110	‘
5	1	1	4	5	8	1535	870	5	5	52.543961	}
5	1	1	4	5	9	1664	840	11	10	24.264946	z
5	1	1	4	5	10	1738	831	32	56	73.987038	/
5	1	1	4	5	11	1821	847	41	48	67.754364	K
5	1	1	4	5	12	1981	846	67	37	13.157814	s
4	1	1	4	6	0	616	884	1432	80	-1	
5	1	1	4	6	1	616	926	23	24	93.295967	4
5	1	1	4	6	2	1158	912	133	38	34.267319	No
5	1	1	4	6	3	1407	896	29	45	0.000000	@
5	1	1	4	6	4	1482	884	362	80	49.735680	hms
5	1	1	4	6	5	2016	888	32	48	29.175446	š
4	1	1	4	7	0	114	926	1932	71	-1	
5	1	1	4	7	1	114	959	13	21	0.000000	&
5	1	1	4	7	2	134	970	14	19	29.825981	|
5	1	1	4	7	3	979	971	14	22	35.918076	Ň
5	1	1	4	7	4	1232	939	72	24	62.951912	Som
5	1	1	4	7	5	1332	963	2	2	74.179573	,
5	1	1	4	7	6	1393	960	31	37	54.032078	»
5	1	1	4	7	7	1508	966	16	17	61.382061	>
5	1	1	4	7	8	1639	954	76	31	25.638367	SF,
5	1	1	4	7	9	1795	967	9	7	29.929436	c
5	1	1	4	7	10	1952	926	23	44	49.712837	2.
5	1	1	4	7	11	1997	937	14	45	81.416138	)
4	1	1	4	8	0	95	968	1953	115	-1	
5	1	1	4	8	1	95	972	87	111	43.592762	Gos
5	1	1	4	8	2	557	983	229	68	39.135910	CaS
5	1	1	4	8	3	869	996	127	66	39.655342	sá
5	1	1	4	8	4	1319	968	60	102	50.611362	je
5	1	1	4	8	5	1429	978	111	88	36.736649	4]
5	1	1	4	8	6	1588	1021	2	2	22.615005	M.
5	1	1	4	8	7	1664	984	48	43	44.925735	<
5	1	1	4	8	8	1850	980	198	60	47.858971	Fy
4	1	1	4	9	0	452	1037	1595	105	-1	
5	1	1	4	9	1	452	1094	30	19	25.996559	9
5	1	1	4	9	2	680	1081	44	60	14.688400	Mi
5	1	1	4	9	3	1212	1053	102	89	64.330597	V
5	1	1	4	9	4	1338	1075	206	57	44.849926	NOVA
5	1	1	4	9	5	1577	1079	59	61	49.795578	A
5	1	1	4	9	6	1667	1083	40	54	29.577736	A
5	1	1	4	9	7	1756	1037	83	87	70.783981	v
5	1	1	4	9	8	1942	1059	105	79	9.916496	oe
4	1	1	4	10	0	174	1105	1864	83	-1	
5	1	1	4	10	1	174	1130	29	44	79.269562	\
5	1	1	4	10	2	533	1156	60	32	35.039604	A
5	1	1	4	10	3	1045	1161	3	2	84.094650	:
5	1	1	4	10	4	1230	1142	67	36	48.024773	Ce:
5	1	1	4	10	5	1448	1129	29	20	54.976078	s
5	1	1	4	10	6	1638	1142	83	37	32.560280	“oy
5	1	1	4	10	7	1843	1105	81	54	14.392387	_
5	1	1	4	10	8	2035	1136	3	8	96.385971	1
4	1	1	4	11	0	554	1153	1488	105	-1	
5	1	1	4	11	1	554	1172	59	64	57.767181	Ys
5	1	1	4	11	2	691	1162	77	67	48.263245	S
5	1	1	4	11	3	849	1153	108	95	47.156216	ry’
5	1	1	4	11	4	1079	1204	77	54	6.715088	aga
5	1	1	4	11	5	1212	1180	33	45	39.893970	a
5	1	1	4	11	6	1288	1176	14	13	0.000000	Ň
5	1	1	4	11	7	1480	1194	15	32	45.217686	Ja
5	1	1	4	11	8	1664	1200	11	27	49.755138	r
5	1	1	4	11	9	1905	1163	137	81	28.029640	Pb
3	1	1	5	0	0	119	1217	1929	280	-1	
4	1	1	5	1	0	710	1217	1269	87	-1	
5	1	1	5	1	1	710	1230	37	14	0.000000	é
5	1	1	5	1	2	949	1244	59	33	40.797073	A
5	1	1	5	1	3	1164	1226	31	53	66.759888	.
5	1	1	5	1	4	1206	1227	14	17	72.483032	‘
5	1	1	5	1	5	1236	1263	13	13	58.664986	f
5	1	1	5	1	6	1379	1248	29	56	35.314705	pa
5	1	1	5	1	7	1598	1240	11	19	67.209564	j
5	1	1	5	1	8	1678	1231	29	48	21.010620	a
5	1	1	5	1	9	1861	1225	22	46	58.608711	V
5	1	1	5	1	10	1907	1226	38	52	26.046768	4"
5	1	1	5	1	11	1965	1217	14	37	32.343895	:
4	1	1	5	2	0	119	1246	1928	133	-1	
5	1	1	5	2	1	119	1253	18	43	85.553169	/
5	1	1	5	2	2	431	1296	121	58	54.456841	o>,
5	1	1	5	2	3	771	1254	119	90	42.765141	te“
5	1	1	5	2	4	924	1246	143	132	41.122070	rhs
5	1	1	5	2	5	1163	1260	31	55	47.825195	o
5	1	1	5	2	6	1336	1289	37	43	28.145737	da
5	1	1	5	2	7	1413	1291	139	26	36.159691	Z
5	1	1	5	2	8	1596	1253	95	126	94.382019	A
5	1	1	5	2	9	1860	1280	105	58	15.471153	Ná
5	1	1	5	2	10	1991	1246	56	89	8.311958	A
4	1	1	5	3	0	313	1336	1729	63	-1	
5	1	1	5	3	1	313	1349	35	42	85.127357	»
5	1	1	5	3	2	483	1340	30	26	12.958893	%
5	1	1	5	3	3	891	1379	13	19	45.200138	‘
5	1	1	5	3	4	976	1359	3	5	88.592834	/
5	1	1	5	3	5	1128	1354	33	28	73.943024	»
5	1	1	5	3	6	1242	1336	95	59	0.000000	sa
5	1	1	5	3	7	1558	1352	160	40	46.087383	AA.
5	1	1	5	3	8	1844	1342	113	57	39.333832	pf
5	1	1	5	3	9	2000	1338	42	56	58.666214	>
4	1	1	5	4	0	129	1355	1664	149	-1	
5	1	1	5	4	1	129	1418	44	48	24.506287	A
5	1	1	5	4	2	297	1355	139	126	52.787888	a
5	1	1	5	4	3	510	1420	59	52	57.401527	A
5	1	1	5	4	4	717	1390	127	67	38.690853	dá
5	1	1	5	4	5	903	1382	113	114	28.161629	pi
5	1	1	5	4	6	1071	1398	103	106	53.461437	Bs
5	1	1	5	4	7	1330	1376	142	84	39.494457	“ir
5	1	1	5	4	8	1634	1401	159	54	7.308731	Oe
5	1	1	5	4	9	1856	1398	178	66	30.542000	ee
3	1	1	6	0	0	52	1450	1887	598	-1	
4	1	1	6	1	0	857	1450	1051	64	-1	
5	1	1	6	1	1	857	1476	44	38	53.298599	Za
5	1	1	6	1	2	1019	1450	39	59	66.765533	x“
5	1	1	6	1	3	1316	1477	6	13	84.154266	)
5	1	1	6	1	4	1613	1492	5	5	77.241470	2
5	1	1	6	1	5	1639	1462	32	20	52.304806	PM
5	1	1	6	1	6	1847	1456	61	23	59.188049	r=
4	1	1	6	2	0	1399	1494	540	37	-1	
5	1	1	6	2	1	1399	1504	11	13	43.235477	vy
5	1	1	6	2	2	1460	1519	10	12	73.485222	4
5	1	1	6	2	3	1537	1494	44	34	94.118484	Aw
5	1	1	6	2	4	1618	1496	17	19	88.350067	v
5	1	1	6	2	5	1765	1496	7	11	69.717285	»
5	1	1	6	2	6	1828	1515	4	2	85.876511	g
5	1	1	6	2	7	1911	1514	28	16	35.644981	Ps
4	1	1	6	3	0	697	1599	1164	68	-1	
5	1	1	6	3	1	697	1613	54	25	65.877083	—
5	1	1	6	3	2	805	1606	19	42	66.151184	/
5	1	1	6	3	3	858	1603	96	57	12.870567	ug
5	1	1	6	3	4	1008	1626	83	18	27.358040	a
5	1	1	6	3	5	1365	1599	16	68	28.662796	Ň
5	1	1	6	3	6	1484	1601	17	65	15.774498	‘
5	1	1	6	3	7	1620	1626	73	30	15.669548	+
5	1	1	6	3	8	1734	1616	2	2	60.541153	i
5	1	1	6	3	9	1774	1600	22	51	55.045818	J
5	1	1	6	3	10	1816	1636	45	21	63.526665	ý
4	1	1	6	4	0	263	1654	1461	92	-1	
5	1	1	6	4	1	263	1689	44	45	62.881004	#
5	1	1	6	4	2	873	1654	468	92	33.274147	ee
5	1	1	6	4	3	1486	1691	11	29	22.943542	<<
5	1	1	6	4	4	1645	1665	177	66	26.736328	ss
4	1	1	6	5	0	1353	1713	353	74	-1	
5	1	1	6	5	1	1353	1713	91	71	78.965225	a,
5	1	1	6	5	2	1472	1727	149	60	24.971024	age
5	1	1	6	5	3	1684	1733	22	28	48.536644	8.
4	1	1	6	6	0	624	1792	901	105	-1	
5	1	1	6	6	1	624	1799	67	98	67.328934	ý
5	1	1	6	6	2	1438	1792	87	58	33.679909	ry
4	1	1	6	7	0	1227	1883	481	39	-1	
5	1	1	6	7	1	1227	1892	10	30	47.669640	i
4	1	1	6	8	0	308	1970	440	78	-1	
5	1	1	6	8	1	308	1995	15	18	95.429665	=
5	1	1	6	8	2	576	1970	172	78	42.348061	ee,
