level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1153	2048	-1	
2	1	1	0	0	0	0	0	1153	2048	-1	
3	1	1	1	0	0	0	0	1153	2048	-1	
4	1	1	1	1	0	446	0	498	57	-1	
5	1	1	1	1	1	446	3	51	20	39.581722	we
5	1	1	1	1	2	544	0	130	41	45.038280	HOS
5	1	1	1	1	3	696	0	51	57	51.731346	K
5	1	1	1	1	4	812	1	110	44	40.096172	0.
4	1	1	1	2	0	388	21	524	82	-1	
5	1	1	1	2	1	388	21	121	82	23.565430	VÁ
5	1	1	1	2	2	532	39	173	39	0.000000	od
5	1	1	1	2	3	736	40	32	46	41.020813	NO
5	1	1	1	2	4	860	33	52	32	33.051941	Se
4	1	1	1	3	0	423	67	518	48	-1	
5	1	1	1	3	1	423	82	64	33	53.709965	Yas
5	1	1	1	3	2	499	85	37	20	66.244865	VY,
5	1	1	1	3	3	555	78	25	34	70.950439	M
5	1	1	1	3	4	599	88	21	17	76.421326	TY
5	1	1	1	3	5	653	74	42	37	25.506432	NSA
5	1	1	1	3	6	715	71	34	41	39.270153	A
5	1	1	1	3	7	787	67	93	28	72.581833	Lie’)
5	1	1	1	3	8	939	80	2	2	46.302048	=
4	1	1	1	4	0	481	96	544	53	-1	
5	1	1	1	4	1	481	107	127	42	27.839233	Re
5	1	1	1	4	2	626	107	88	41	35.267807	Se
5	1	1	1	4	3	811	96	93	37	32.280914	A
5	1	1	1	4	4	1016	111	9	24	92.250023	)
4	1	1	1	5	0	495	167	491	55	-1	
5	1	1	1	5	1	495	183	229	39	30.075623	A
5	1	1	1	5	2	891	167	95	43	31.857903	AD
4	1	1	1	6	0	519	199	474	53	-1	
5	1	1	1	6	1	519	217	93	35	17.491913	NT
5	1	1	1	6	2	654	209	5	22	80.419189	|
5	1	1	1	6	3	685	203	23	29	12.223198	K
5	1	1	1	6	4	748	195	59	54	47.022968	od
5	1	1	1	6	5	861	203	20	27	0.000000	i
5	1	1	1	6	6	891	205	102	22	0.000000	eme
4	1	1	1	7	0	516	216	468	60	-1	
5	1	1	1	7	1	516	237	62	39	33.209930	Waa
5	1	1	1	7	2	594	232	63	24	49.525181	‘Qe
5	1	1	1	7	3	683	243	6	25	56.935966	f
5	1	1	1	7	4	749	247	7	3	91.454781	=
5	1	1	1	7	5	779	222	42	28	16.013245	a)
5	1	1	1	7	6	832	224	41	24	35.843056	2
5	1	1	1	7	7	886	221	17	20	44.832172	K
5	1	1	1	7	8	932	228	4	3	59.354515	€
5	1	1	1	7	9	953	216	31	38	11.932602	Re
4	1	1	1	8	0	492	244	463	31	-1	
5	1	1	1	8	1	492	253	101	22	40.438408	UE
5	1	1	1	8	2	658	256	36	11	18.396515	SO
5	1	1	1	8	3	746	244	122	25	22.830437	UP"
5	1	1	1	8	4	948	256	7	5	0.000000	Z
4	1	1	1	9	0	427	294	618	55	-1	
5	1	1	1	9	1	427	340	6	4	53.232674	>
5	1	1	1	9	2	491	334	21	14	63.194935	a
5	1	1	1	9	3	605	331	2	13	38.272053	Ny
5	1	1	1	9	4	688	306	13	18	44.207954	S
5	1	1	1	9	5	752	328	10	14	70.782089	A
5	1	1	1	9	6	799	294	53	52	19.735855	We
5	1	1	1	9	7	896	309	12	21	75.982407	A
5	1	1	1	9	8	933	329	21	20	47.317558	2
5	1	1	1	9	9	1028	311	17	20	19.536484	S
4	1	1	1	10	0	383	335	626	42	-1	
5	1	1	1	10	1	383	358	16	9	33.333572	A
5	1	1	1	10	2	570	354	19	12	25.181396	th
5	1	1	1	10	3	681	342	152	25	38.362579	[KPT
5	1	1	1	10	4	909	335	100	25	64.538849	1
4	1	1	1	11	0	332	342	734	66	-1	
5	1	1	1	11	1	332	381	106	27	33.045074	LF
5	1	1	1	11	2	468	376	15	27	46.071762	a
5	1	1	1	11	3	493	361	94	39	35.941193	7.
5	1	1	1	11	4	595	368	8	21	56.675613	]
5	1	1	1	11	5	639	342	49	64	15.437851	=
5	1	1	1	11	6	749	366	15	23	40.298504	©
5	1	1	1	11	7	779	358	42	41	46.250473	[5
5	1	1	1	11	8	839	362	49	19	42.215538	gas“
5	1	1	1	11	9	931	351	51	28	66.114525	X
5	1	1	1	11	10	1065	365	1	3	96.664314	|
4	1	1	1	12	0	319	379	744	45	-1	
5	1	1	1	12	1	319	408	13	14	71.619514	€
5	1	1	1	12	2	466	396	26	25	31.051102	We
5	1	1	1	12	3	510	401	44	23	13.321114	ete
5	1	1	1	12	4	581	401	23	13	7.711479	AY
5	1	1	1	12	5	705	397	15	19	70.774651	A
5	1	1	1	12	6	806	384	84	32	22.054749	Vim
5	1	1	1	12	7	1000	402	5	4	13.152245	4
5	1	1	1	12	8	1034	379	29	42	13.152245	\
4	1	1	1	13	0	9	439	1117	51	-1	
5	1	1	1	13	1	9	471	15	19	36.431576	A
5	1	1	1	13	2	374	476	8	11	0.000000	'
5	1	1	1	13	3	518	460	66	22	34.532822	AU
5	1	1	1	13	4	739	461	20	20	74.941849	>
5	1	1	1	13	5	810	454	83	25	0.000000	VAL
5	1	1	1	13	6	858	440	22	51	2.100441	—
5	1	1	1	13	7	1083	439	43	41	84.563705	v
4	1	1	1	14	0	8	469	1034	61	-1	
5	1	1	1	14	1	8	490	85	40	41.551857	Sa
5	1	1	1	14	2	413	506	3	1	45.463593	s
5	1	1	1	14	3	478	485	202	27	40.633911	ID
5	1	1	1	14	4	809	468	127	36	57.997589	ont
5	1	1	1	14	5	1013	469	29	29	75.270317	Ň
4	1	1	1	15	0	95	450	947	119	-1	
5	1	1	1	15	1	95	522	164	23	0.000000	—_—S_
5	1	1	1	15	2	352	503	61	35	69.524536	-
5	1	1	1	15	3	499	450	88	93	26.153900	Ah
5	1	1	1	15	4	598	497	40	72	16.950005	NÝ
5	1	1	1	15	5	659	485	231	49	0.000000	RANY,
5	1	1	1	15	6	955	479	8	50	92.252182	4
5	1	1	1	15	7	1000	486	42	66	79.379501	N
4	1	1	1	16	0	27	536	985	37	-1	
5	1	1	1	16	1	27	571	3	2	18.519676	:
5	1	1	1	16	2	166	571	4	1	52.789783	:
5	1	1	1	16	3	318	555	66	8	47.735435	a
5	1	1	1	16	4	559	542	86	18	28.806694	NA.
5	1	1	1	16	5	696	551	9	12	0.000000	4
5	1	1	1	16	6	758	545	2	12	54.953804	©
5	1	1	1	16	7	777	540	1	2	40.174889	=
5	1	1	1	16	8	798	540	7	20	73.914047	|
5	1	1	1	16	9	883	538	3	6	72.688522	(
5	1	1	1	16	10	956	536	56	8	69.177719	[VA
4	1	1	1	17	0	0	511	1090	90	-1	
5	1	1	1	17	1	0	580	23	19	61.611313	~
5	1	1	1	17	2	611	564	2	3	94.442001	|
5	1	1	1	17	3	636	544	73	57	33.801636	Niva,
5	1	1	1	17	4	746	556	65	28	45.325390	NA
5	1	1	1	17	5	839	554	46	34	0.000000	>
5	1	1	1	17	6	948	545	9	16	39.922810	f
5	1	1	1	17	7	1023	511	67	65	41.953873	SN
4	1	1	1	18	0	428	576	664	51	-1	
